iter	Passed	Remaining
0	144	144484
1	146	73000
2	147	49120
3	148	37022
4	150	29898
5	151	25130
6	152	21606
7	153	19037
8	154	17038
9	155	15434
10	157	14127
11	158	13034
12	159	12086
13	160	11272
14	161	10584
15	162	9986
16	163	9458
17	164	8972
18	165	8565
19	167	8189
20	168	7847
21	169	7526
22	170	7242
23	171	6981
24	172	6741
25	174	6520
26	175	6317
27	176	6126
28	177	5928
29	178	5763
30	179	5613
31	180	5469
32	181	5321
33	182	5191
34	183	5071
35	185	4957
36	186	4849
37	187	4735
38	188	4638
39	189	4545
40	190	4459
41	191	4374
42	193	4295
43	194	4223
44	195	4150
45	196	4083
46	198	4017
47	199	3953
48	200	3882
49	201	3822
50	202	3766
51	203	3712
52	204	3659
53	206	3609
54	207	3560
55	208	3512
56	209	3465
57	210	3421
58	211	3369
59	212	3326
60	213	3288
61	214	3242
62	215	3205
63	216	3160
64	217	3124
65	218	3091
66	219	3057
67	220	3024
68	221	2989
69	222	2958
70	223	2928
71	224	2899
72	225	2863
73	226	2835
74	227	2803
75	228	2776
76	229	2751
77	230	2726
78	231	2702
79	232	2678
80	234	2655
81	235	2633
82	236	2610
83	236	2582
84	237	2558
85	238	2537
86	239	2517
87	241	2498
88	242	2479
89	243	2460
90	244	2442
91	245	2424
92	246	2407
93	248	2390
94	249	2374
95	250	2357
96	251	2341
97	252	2325
98	253	2309
99	254	2294
100	256	2279
101	257	2264
102	258	2249
103	259	2235
104	260	2221
105	261	2208
106	262	2194
107	264	2181
108	265	2166
109	266	2153
110	267	2140
111	268	2128
112	269	2116
113	270	2104
114	271	2092
115	272	2080
116	274	2068
117	274	2053
118	275	2041
119	276	2031
120	277	2017
121	278	2006
122	280	1996
123	281	1986
124	282	1976
125	283	1966
126	284	1956
127	285	1947
128	286	1937
129	288	1928
130	289	1918
131	290	1909
132	291	1900
133	292	1891
134	293	1883
135	295	1877
136	310	1957
137	312	1950
138	313	1944
139	315	1939
140	317	1933
141	319	1928
142	320	1922
143	322	1915
144	323	1907
145	324	1900
146	326	1895
147	328	1888
148	329	1881
149	330	1873
150	331	1865
151	332	1855
152	333	1847
153	335	1840
154	336	1833
155	337	1826
156	338	1818
157	339	1811
158	340	1801
159	341	1794
160	342	1787
161	344	1780
162	345	1773
163	346	1766
164	347	1759
165	348	1751
166	349	1745
167	351	1738
168	352	1731
169	353	1725
170	354	1718
171	358	1723
172	359	1717
173	360	1710
174	361	1703
175	362	1697
176	363	1691
177	364	1684
178	365	1677
179	366	1671
180	368	1665
181	369	1659
182	370	1653
183	371	1647
184	372	1641
185	373	1635
186	374	1629
187	375	1623
188	377	1618
189	378	1612
190	379	1606
191	379	1598
192	381	1593
193	381	1585
194	382	1580
195	383	1575
196	385	1569
197	386	1563
198	387	1558
199	388	1553
200	389	1548
201	390	1543
202	391	1538
203	392	1533
204	394	1528
205	395	1523
206	396	1518
207	397	1513
208	398	1508
209	399	1504
210	400	1499
211	402	1494
212	403	1489
213	404	1485
214	405	1480
215	406	1476
216	407	1471
217	409	1467
218	410	1463
219	411	1458
220	412	1454
221	413	1449
222	414	1445
223	416	1441
224	417	1436
225	418	1432
226	419	1428
227	420	1423
228	421	1419
229	422	1415
230	423	1411
231	425	1407
232	426	1403
233	427	1399
234	428	1394
235	429	1390
236	430	1386
237	431	1382
238	434	1382
239	435	1378
240	436	1374
241	437	1370
242	438	1366
243	439	1362
244	440	1358
245	442	1354
246	443	1351
247	444	1347
248	445	1343
249	446	1339
250	447	1336
251	449	1333
252	450	1329
253	451	1325
254	452	1322
255	453	1318
256	454	1315
257	456	1311
258	457	1308
259	458	1304
260	459	1301
261	460	1297
262	461	1294
263	463	1290
264	464	1287
265	465	1284
266	466	1280
267	467	1277
268	468	1273
269	469	1270
270	471	1267
271	472	1264
272	473	1261
273	474	1257
274	475	1254
275	477	1251
276	478	1249
277	479	1246
278	481	1243
279	482	1240
280	483	1237
281	484	1234
282	485	1231
283	487	1228
284	488	1225
285	489	1222
286	491	1219
287	492	1217
288	493	1214
289	495	1211
290	496	1209
291	497	1206
292	498	1203
293	499	1199
294	500	1195
295	501	1192
296	502	1190
297	504	1187
298	505	1184
299	506	1181
300	507	1178
301	508	1175
302	509	1172
303	510	1169
304	511	1166
305	512	1163
306	514	1160
307	515	1157
308	516	1154
309	517	1151
310	518	1149
311	519	1146
312	521	1143
313	522	1140
314	523	1137
315	524	1135
316	525	1132
317	526	1129
318	527	1126
319	528	1123
320	530	1121
321	531	1118
322	531	1114
323	533	1112
324	534	1109
325	535	1106
326	536	1104
327	537	1101
328	538	1099
329	540	1096
330	541	1093
331	542	1091
332	543	1088
333	544	1084
334	545	1082
335	546	1079
336	547	1076
337	548	1073
338	549	1071
339	550	1069
340	551	1066
341	553	1064
342	554	1061
343	555	1058
344	556	1056
345	557	1053
346	558	1051
347	559	1048
348	560	1046
349	561	1043
350	563	1041
351	564	1038
352	565	1036
353	566	1033
354	567	1031
355	568	1029
356	570	1026
357	571	1024
358	572	1022
359	573	1019
360	574	1017
361	575	1014
362	576	1012
363	578	1010
364	579	1007
365	580	1005
366	581	1003
367	582	1000
368	583	998
369	584	996
370	586	993
371	587	991
372	588	989
373	589	986
374	590	984
375	591	982
376	592	979
377	594	977
378	595	975
379	596	972
380	597	970
381	598	968
382	599	966
383	600	964
384	602	961
385	603	959
386	604	957
387	605	955
388	606	952
389	607	950
390	608	948
391	610	946
392	611	943
393	612	941
394	613	939
395	614	937
396	615	935
397	616	933
398	618	931
399	619	928
400	620	926
401	621	924
402	622	922
403	623	920
404	625	918
405	626	916
406	627	914
407	628	912
408	629	909
409	631	908
410	632	906
411	632	903
412	633	900
413	635	898
414	636	896
415	637	894
416	638	892
417	639	890
418	640	888
419	641	886
420	642	884
421	644	882
422	645	880
423	646	878
424	647	876
425	648	874
426	649	872
427	651	870
428	652	868
429	653	865
430	654	863
431	655	861
432	656	859
433	657	857
434	658	855
435	660	853
436	661	851
437	662	849
438	663	848
439	664	846
440	666	844
441	667	842
442	668	840
443	669	838
444	670	836
445	671	834
446	672	832
447	673	830
448	675	828
449	676	826
450	677	824
451	678	822
452	679	820
453	681	819
454	682	817
455	683	815
456	684	813
457	685	811
458	686	809
459	688	807
460	688	805
461	690	803
462	691	801
463	692	800
464	693	798
465	695	796
466	696	795
467	698	793
468	699	792
469	701	790
470	702	788
471	703	786
472	704	785
473	705	783
474	706	781
475	708	779
476	709	777
477	710	775
478	711	774
479	712	772
480	713	770
481	715	768
482	716	766
483	717	764
484	718	762
485	719	761
486	720	759
487	721	757
488	723	755
489	724	753
490	725	751
491	726	749
492	727	747
493	728	746
494	729	744
495	730	742
496	731	740
497	732	738
498	734	737
499	735	735
500	735	732
501	736	731
502	738	729
503	739	727
504	740	725
505	741	723
506	742	722
507	743	720
508	744	718
509	745	716
510	747	714
511	748	713
512	749	711
513	750	709
514	751	707
515	752	706
516	753	704
517	755	702
518	756	700
519	757	699
520	758	697
521	759	695
522	760	693
523	762	692
524	763	690
525	764	688
526	765	686
527	766	685
528	767	683
529	768	681
530	770	680
531	771	678
532	772	676
533	773	674
534	774	673
535	775	671
536	776	669
